Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
   [3] propagate (d2q9-bgk.c:245 @ 4010bf) [80] rebound_collision (d2q9-bgk.c:360 @ 4013d4) [45] rebound_collision (d2q9-bgk.c:402 @ 4015a2)
 [114] propagate (d2q9-bgk.c:252 @ 4010ce) [81] rebound_collision (d2q9-bgk.c:362 @ 4013d9) [20] rebound_collision (d2q9-bgk.c:401 @ 4015ab)
 [102] propagate (d2q9-bgk.c:254 @ 4010d1) [110] rebound_collision (d2q9-bgk.c:359 @ 4013e0) [50] rebound_collision (d2q9-bgk.c:400 @ 4015b0)
  [63] propagate (d2q9-bgk.c:252 @ 4010d5) [111] rebound_collision (d2q9-bgk.c:362 @ 4013e3) [105] rebound_collision (d2q9-bgk.c:387 @ 4015b5)
  [53] propagate (d2q9-bgk.c:254 @ 4010db) [133] rebound_collision (d2q9-bgk.c:362 @ 4013f4) [103] rebound_collision (d2q9-bgk.c:388 @ 4015c2)
  [21] propagate (d2q9-bgk.c:252 @ 4010e2) [66] rebound_collision (d2q9-bgk.c:352 @ 4013f9) [104] rebound_collision (d2q9-bgk.c:389 @ 4015c6)
  [68] propagate (d2q9-bgk.c:253 @ 4010f8) [135] rebound_collision (d2q9-bgk.c:359 @ 401401) [125] rebound_collision (d2q9-bgk.c:387 @ 4015ca)
   [9] propagate (d2q9-bgk.c:254 @ 401104) [136] rebound_collision (d2q9-bgk.c:361 @ 401406) [31] rebound_collision (d2q9-bgk.c:402 @ 4015ce)
  [54] propagate (d2q9-bgk.c:255 @ 401110) [129] rebound_collision (d2q9-bgk.c:352 @ 401409) [11] rebound_collision (d2q9-bgk.c:401 @ 4015d6)
 [119] propagate (d2q9-bgk.c:256 @ 401117) [5] rebound_collision (d2q9-bgk.c:372 @ 40140e) [25] rebound_collision (d2q9-bgk.c:390 @ 4015da)
 [115] propagate (d2q9-bgk.c:255 @ 40111b) [7] rebound_collision (d2q9-bgk.c:361 @ 401413) [97] rebound_collision (d2q9-bgk.c:400 @ 4015e6)
 [116] propagate (d2q9-bgk.c:259 @ 401120) [41] rebound_collision (d2q9-bgk.c:363 @ 40141c) [98] rebound_collision (d2q9-bgk.c:390 @ 4015eb)
 [140] propagate (d2q9-bgk.c:259 @ 401125) [8] rebound_collision (d2q9-bgk.c:369 @ 401435) [29] rebound_collision (d2q9-bgk.c:390 @ 4015f8)
  [39] propagate (d2q9-bgk.c:256 @ 401128) [121] rebound_collision (d2q9-bgk.c:372 @ 401442) [152] rebound_collision (d2q9-bgk.c:390 @ 401605)
 [126] propagate (d2q9-bgk.c:256 @ 401136) [122] rebound_collision (d2q9-bgk.c:371 @ 401447) [36] rebound_collision (d2q9-bgk.c:402 @ 401609)
  [69] propagate (d2q9-bgk.c:257 @ 40113e) [112] rebound_collision (d2q9-bgk.c:374 @ 40144b) [32] rebound_collision (d2q9-bgk.c:401 @ 401611)
  [70] propagate (d2q9-bgk.c:258 @ 401140) [10] rebound_collision (d2q9-bgk.c:373 @ 401455) [130] rebound_collision (d2q9-bgk.c:393 @ 401615)
 [128] propagate (d2q9-bgk.c:257 @ 401143) [113] rebound_collision (d2q9-bgk.c:369 @ 401467) [131] rebound_collision (d2q9-bgk.c:394 @ 40161a)
  [87] propagate (d2q9-bgk.c:258 @ 40114d) [6] rebound_collision (d2q9-bgk.c:371 @ 40146c) [109] rebound_collision (d2q9-bgk.c:400 @ 401621)
  [92] propagate (d2q9-bgk.c:257 @ 401151) [18] rebound_collision (d2q9-bgk.c:402 @ 401482) [99] rebound_collision (d2q9-bgk.c:393 @ 401626)
 [117] propagate (d2q9-bgk.c:258 @ 401156) [19] rebound_collision (d2q9-bgk.c:384 @ 401487) [144] rebound_collision (d2q9-bgk.c:394 @ 40162e)
 [118] propagate (d2q9-bgk.c:259 @ 40115c) [4] rebound_collision (d2q9-bgk.c:402 @ 401491) [106] rebound_collision (d2q9-bgk.c:393 @ 401633)
  [58] propagate (d2q9-bgk.c:258 @ 401160) [22] rebound_collision (d2q9-bgk.c:401 @ 40149a) [82] rebound_collision (d2q9-bgk.c:395 @ 40163c)
  [27] propagate (d2q9-bgk.c:259 @ 401165) [23] rebound_collision (d2q9-bgk.c:375 @ 40149f) [24] rebound_collision (d2q9-bgk.c:402 @ 401644)
 [141] propagate (d2q9-bgk.c:240 @ 401170) [72] rebound_collision (d2q9-bgk.c:402 @ 4014aa) [38] rebound_collision (d2q9-bgk.c:401 @ 40164d)
  [78] rebound_collision (d2q9-bgk.c:372 @ 4012f7) [73] rebound_collision (d2q9-bgk.c:375 @ 4014b3) [13] rebound_collision (d2q9-bgk.c:400 @ 401652)
  [60] rebound_collision (d2q9-bgk.c:331 @ 401308) [134] rebound_collision (d2q9-bgk.c:401 @ 4014b8) [33] rebound_collision (d2q9-bgk.c:306 @ 401663)
  [26] rebound_collision (d2q9-bgk.c:331 @ 40131a) [43] rebound_collision (d2q9-bgk.c:376 @ 4014c1) [139] rebound_collision (d2q9-bgk.c:311 @ 401668)
  [93] rebound_collision (d2q9-bgk.c:336 @ 401330) [137] rebound_collision (d2q9-bgk.c:400 @ 4014c5) [146] rebound_collision (d2q9-bgk.c:315 @ 401673)
 [148] rebound_collision (d2q9-bgk.c:331 @ 401335) [138] rebound_collision (d2q9-bgk.c:374 @ 4014ca) [153] rebound_collision (d2q9-bgk.c:317 @ 401685)
 [156] rebound_collision (d2q9-bgk.c:347 @ 40133b) [15] rebound_collision (d2q9-bgk.c:402 @ 4014cf) [154] rebound_collision (d2q9-bgk.c:318 @ 40168f)
 [124] rebound_collision (d2q9-bgk.c:344 @ 401340) [14] rebound_collision (d2q9-bgk.c:401 @ 4014dc) [145] rebound_collision (d2q9-bgk.c:320 @ 4016a3)
 [120] rebound_collision (d2q9-bgk.c:331 @ 401345) [47] rebound_collision (d2q9-bgk.c:400 @ 4014e0) [155] rebound_collision (d2q9-bgk.c:322 @ 4016b7)
  [28] rebound_collision (d2q9-bgk.c:331 @ 40134f) [83] rebound_collision (d2q9-bgk.c:377 @ 4014f1)
